Name,Email,Password,User Type
John Smith,johnsmith@yahoo.com,jaredtung,patient
anson tsang,ansontsang@yahoo.com,jaredtung,caretaker
ansontsang,jaredtung@gmail.com,ansontsang,patient
signuptest1,signup@gmail.com,signup1,patient
mattwong,mw@gmail.com,mw,patient
asdfl,kldfh@gmail.com,l;jhugyftghvb,patient
ljkhgvjbk,nhugyvhbj@gmial.com,asdfs,patient
e,e@gmail.com,e,patient
jaredtung,jaredtungs@gmail.com,jaredtungs,patient
a,a@gmail.com,a,patient
Anson Tsang,ansontsang@gmail.com,ansontsang,patient
chineseman,chineseman@gmail.com, chineseman,patient
englishman,englishman@gmail.com,englishman,patient
a,b@gmail.com,a,patient
y,y@gmail.com,y,caretaker
